H Product:Blackbox flight data recorder by Nicholas Sherlock
H Data version:2
H I interval:1000
H Field I name:loopIteration,time,GPS_coord[0],GPS_coord[1],GPS_altitude,attitude[0],attitude[1],attitude[2],GPS_speed,GPS_numSat
0,1000000,559123456,378901234,5000,0,0,1800,0,12
1,1100000,559123556,378901334,5100,50,10,1810,500,12
2,1200000,559123656,378901434,5200,100,20,1820,800,12
3,1300000,559123756,378901534,5300,150,30,1830,1000,12
4,1400000,559123856,378901634,5400,200,40,1840,1200,12
5,1500000,559123956,378901734,5500,250,50,1850,1400,12
6,1600000,559124056,378901834,5600,300,60,1860,1600,12
7,1700000,559124156,378901934,5700,350,70,1870,1800,12
8,1800000,559124256,378902034,5800,400,80,1880,2000,12
9,1900000,559124356,378902134,5900,450,90,1890,2200,12
10,2000000,559124456,378902234,6000,500,100,1900,2400,13
11,2100000,559124556,378902334,6100,450,90,1910,2300,13
12,2200000,559124656,378902434,6200,400,80,1920,2200,13
13,2300000,559124756,378902534,6300,350,70,1930,2100,13
14,2400000,559124856,378902634,6400,300,60,1940,2000,13
15,2500000,559124956,378902734,6500,250,50,1950,1900,13
16,2600000,559125056,378902834,6600,200,40,1960,1800,13
17,2700000,559125156,378902934,6700,150,30,1970,1700,13
18,2800000,559125256,378903034,6800,100,20,1980,1600,13
19,2900000,559125356,378903134,6900,50,10,1990,1500,13
20,3000000,559125456,378903234,7000,0,0,2000,1400,13
21,3100000,559125556,378903334,7100,-50,-10,2010,1300,14
22,3200000,559125656,378903434,7200,-100,-20,2020,1200,14
23,3300000,559125756,378903534,7300,-150,-30,2030,1100,14
24,3400000,559125856,378903634,7400,-200,-40,2040,1000,14
25,3500000,559125956,378903734,7500,-250,-50,2050,900,14
26,3600000,559126056,378903834,7600,-200,-40,2060,800,14
27,3700000,559126156,378903934,7700,-150,-30,2070,700,14
28,3800000,559126256,378904034,7800,-100,-20,2080,600,14
29,3900000,559126356,378904134,7900,-50,-10,2090,500,14
30,4000000,559126456,378904234,8000,0,0,2100,400,14
31,4100000,559126556,378904334,8100,50,10,2110,500,14
32,4200000,559126656,378904434,8200,100,20,2120,600,14
33,4300000,559126756,378904534,8300,150,30,2130,700,14
34,4400000,559126856,378904634,8400,200,40,2140,800,14
35,4500000,559126956,378904734,8500,250,50,2150,900,14
36,4600000,559127056,378904834,8600,300,60,2160,1000,15
37,4700000,559127156,378904934,8700,250,50,2170,1100,15
38,4800000,559127256,378905034,8800,200,40,2180,1200,15
39,4900000,559127356,378905134,8900,150,30,2190,1300,15
40,5000000,559127456,378905234,9000,100,20,2200,1400,15
41,5100000,559127556,378905334,9100,50,10,2210,1500,15
42,5200000,559127656,378905434,9200,0,0,2220,1600,15
43,5300000,559127756,378905534,9300,-50,-10,2230,1700,15
44,5400000,559127856,378905634,9400,-100,-20,2240,1800,15
45,5500000,559127956,378905734,9500,-150,-30,2250,1900,15
46,5600000,559128056,378905834,9600,-100,-20,2260,2000,15
47,5700000,559128156,378905934,9700,-50,-10,2270,1900,15
48,5800000,559128256,378906034,9800,0,0,2280,1800,16
49,5900000,559128356,378906134,9900,50,10,2290,1700,16
50,6000000,559128456,378906234,10000,0,0,2300,1600,16
